date,open,high,low,close,volume,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,spread,spread_pct
2025-09-15 21:00:00+00:00,173.327,173.39,173.3,173.372,1921,173.254,173.338,173.239,173.322,173.4,173.465,173.36,173.423,0.10099999999999909,0.05825623514754348
2025-09-15 22:00:00+00:00,173.366,173.386,173.34,173.384,1647,173.324,173.374,173.316,173.369,173.407,173.428,173.359,173.399,0.030000000000001137,0.017302634614497957
2025-09-15 23:00:00+00:00,173.388,173.436,173.324,173.392,2817,173.373,173.423,173.31,173.379,173.404,173.449,173.336,173.405,0.02600000000001046,0.01499492479469091
2025-09-16 00:00:00+00:00,173.39,173.437,173.36,173.426,7732,173.375,173.425,173.348,173.415,173.404,173.449,173.37,173.436,0.021000000000015007,0.012108911005278914
2025-09-16 01:00:00+00:00,173.426,173.497,173.3,173.4,7608,173.414,173.485,173.289,173.386,173.439,173.511,173.311,173.414,0.027999999999991587,0.016147635524793303
2025-09-16 02:00:00+00:00,173.4,173.401,173.235,173.3,7045,173.385,173.386,173.221,173.289,173.414,173.416,173.249,173.31,0.021000000000015007,0.012117714945190424
2025-09-16 03:00:00+00:00,173.305,173.336,173.25,173.29,6615,173.293,173.324,173.237,173.278,173.317,173.348,173.263,173.303,0.025000000000005684,0.014426683593978697
2025-09-16 04:00:00+00:00,173.291,173.293,173.104,173.137,5490,173.279,173.281,173.092,173.124,173.303,173.305,173.115,173.15,0.02600000000001046,0.015017009651322629
2025-09-16 05:00:00+00:00,173.138,173.209,173.046,173.133,6753,173.126,173.194,173.034,173.12,173.151,173.224,173.058,173.146,0.025999999999982037,0.015017356598673873
2025-09-16 06:00:00+00:00,173.134,173.185,173.026,173.154,10037,173.121,173.171,173.015,173.141,173.148,173.199,173.038,173.168,0.027000000000015234,0.015593055892451364
2025-09-16 07:00:00+00:00,173.153,173.274,173.024,173.25,11028,173.14,173.263,173.011,173.235,173.166,173.288,173.036,173.265,0.029999999999972715,0.017316017316001568
2025-09-16 08:00:00+00:00,173.251,173.466,173.232,173.376,10272,173.237,173.455,173.218,173.36,173.265,173.476,173.245,173.393,0.03299999999998704,0.019033776301210687
2025-09-16 09:00:00+00:00,173.38,173.656,173.375,173.624,10467,173.362,173.645,173.361,173.611,173.399,173.666,173.388,173.636,0.025000000000005684,0.014398931023364099
2025-09-16 10:00:00+00:00,173.62,173.694,173.567,173.649,8727,173.608,173.682,173.552,173.636,173.632,173.706,173.58,173.662,0.02600000000001046,0.014972732350897763
2025-09-16 11:00:00+00:00,173.648,173.668,173.553,173.618,9905,173.634,173.656,173.54,173.608,173.661,173.681,173.566,173.629,0.020999999999986585,0.012095520049756699
2025-09-16 12:00:00+00:00,173.62,173.676,173.515,173.646,12658,173.608,173.665,173.478,173.635,173.632,173.69,173.528,173.656,0.021000000000015007,0.012093569676246505
2025-09-16 13:00:00+00:00,173.646,173.698,173.494,173.529,14251,173.634,173.687,173.481,173.518,173.659,173.71,173.508,173.54,0.02199999999999136,0.012677996185070714
2025-09-16 14:00:00+00:00,173.531,173.704,173.498,173.662,16426,173.519,173.694,173.486,173.65,173.543,173.715,173.51,173.673,0.022999999999996135,0.013244117884163567
2025-09-16 15:00:00+00:00,173.662,173.694,173.469,173.632,10767,173.65,173.68,173.457,173.62,173.674,173.707,173.481,173.644,0.02400000000000091,0.013822336896425147
2025-09-16 16:00:00+00:00,173.632,173.794,173.577,173.648,8268,173.62,173.784,173.563,173.635,173.645,173.805,173.59,173.662,0.027000000000015234,0.015548696213037429
2025-09-16 17:00:00+00:00,173.646,173.79,173.638,173.692,8160,173.635,173.777,173.624,173.681,173.658,173.803,173.651,173.704,0.022999999999996135,0.013241830366393464
2025-09-16 18:00:00+00:00,173.694,173.74,173.598,173.663,7053,173.683,173.727,173.585,173.651,173.704,173.752,173.608,173.675,0.02400000000000091,0.013819869517399164
2025-09-16 19:00:00+00:00,173.662,173.752,173.628,173.752,6030,173.65,173.742,173.615,173.742,173.675,173.763,173.641,173.763,0.021000000000015007,0.012086191813628046
2025-09-16 20:00:00+00:00,173.748,173.827,173.708,173.798,5190,173.737,173.809,173.694,173.776,173.758,173.849,173.72,173.819,0.042999999999977945,0.024741366413870095
2025-09-16 21:00:00+00:00,173.735,173.837,173.661,173.782,1184,173.66,173.762,173.586,173.722,173.81,173.912,173.736,173.843,0.1209999999999809,0.06962746429433479
2025-09-16 22:00:00+00:00,173.776,173.844,173.754,173.834,1461,173.725,173.832,173.704,173.819,173.828,173.857,173.777,173.849,0.030000000000001137,0.01725784368995774
2025-09-16 23:00:00+00:00,173.834,173.851,173.712,173.81,3105,173.821,173.84,173.7,173.798,173.848,173.863,173.725,173.822,0.02400000000000091,0.013808181347448885
2025-09-17 00:00:00+00:00,173.808,173.819,173.58,173.766,9479,173.795,173.807,173.568,173.752,173.821,173.832,173.591,173.779,0.026999999999986812,0.015538137495244646
2025-09-17 01:00:00+00:00,173.768,173.774,173.632,173.692,8163,173.754,173.76,173.62,173.679,173.783,173.788,173.645,173.704,0.025000000000005684,0.014393293876520327
2025-09-17 02:00:00+00:00,173.69,173.756,173.677,173.73,4930,173.677,173.743,173.665,173.719,173.704,173.769,173.689,173.742,0.022999999999996135,0.013238933978009633
2025-09-17 03:00:00+00:00,173.73,173.762,173.658,173.675,3379,173.719,173.751,173.644,173.662,173.74,173.774,173.671,173.688,0.025999999999982037,0.01497049085935341
2025-09-17 04:00:00+00:00,173.674,173.69,173.598,173.61,3442,173.66,173.675,173.587,173.597,173.687,173.704,173.61,173.624,0.026999999999986812,0.015552099533429415
2025-09-17 05:00:00+00:00,173.613,173.753,173.577,173.74,5389,173.599,173.741,173.565,173.729,173.627,173.765,173.589,173.75,0.020999999999986585,0.01208702659145078
2025-09-17 06:00:00+00:00,173.744,173.754,173.63,173.69,7582,173.734,173.743,173.617,173.679,173.755,173.764,173.644,173.701,0.02199999999999136,0.012666244458513075
2025-09-17 07:00:00+00:00,173.69,173.706,173.577,173.662,9830,173.68,173.693,173.563,173.65,173.701,173.72,173.59,173.675,0.025000000000005684,0.014395780308879136
2025-09-17 08:00:00+00:00,173.663,173.683,173.452,173.521,8003,173.651,173.672,173.439,173.51,173.675,173.695,173.465,173.532,0.02200000000001978,0.01267858069053301
