pair,entry_date,exit_date,direction,entry_price,exit_price,size,profit_pct,profit_dollars,periods_held,exit_reason,confidence,capital_after
EURUSD,2025-11-26 16:00:00+00:00,2025-11-27 02:50:00+00:00,long,1.15972,1.1607275000000001,88.32225406386328,0.0008687441796296088,0.08898467096934667,130,trailing_stop,0.7485752701759338,513.0855495278385
GBPUSD,2025-11-27 00:45:00+00:00,2025-11-27 04:35:00+00:00,long,1.32498,1.326124,77.36031650123039,0.0008634092590077087,0.08850020207741019,46,trailing_stop,0.7029892206192017,513.1740497299159
GBPUSD,2025-11-27 00:50:00+00:00,2025-11-27 04:40:00+00:00,long,1.32509,1.325961,77.35389408686113,0.0006573138428331993,0.06737524174964399,46,trailing_stop,0.7852678298950195,513.2414249716655
AUDUSD,2025-11-27 01:00:00+00:00,2025-11-27 05:30:00+00:00,long,0.65296,0.6535905,156.98136946875496,0.0009656027934329489,0.0989767534500466,54,trailing_stop,0.6863213181495667,513.3404017251156
AUDUSD,2025-11-27 01:25:00+00:00,2025-11-27 05:30:00+00:00,long,0.65302,0.6536115,156.9902658238621,0.0009057915530917384,0.09285974223480926,49,trailing_stop,0.6952646374702454,513.4332614673505
AUDUSD,2025-11-27 01:50:00+00:00,2025-11-27 05:30:00+00:00,long,0.65308,0.6536325000000001,156.9782451296949,0.0008459913027501482,0.08673048043416692,44,trailing_stop,0.7528294324874878,513.5199919477847
AUDUSD,2025-11-27 01:55:00+00:00,2025-11-27 05:30:00+00:00,long,0.6532,0.6536679999999999,156.9445969772036,0.0007164727495405893,0.07345007138531762,43,trailing_stop,0.8434479832649231,513.59344201917
EURUSD,2025-11-28 08:40:00+00:00,2025-11-28 11:00:00+00:00,short,1.15717,1.156169,88.75948430688949,0.0008650414372996445,0.088848243791199,28,trailing_stop,0.6740785837173462,513.6822902629611
AUDUSD,2025-11-28 04:15:00+00:00,2025-11-28 15:20:00+00:00,long,0.65357,0.653843,157.18719532936586,0.00041770583105094745,0.042912104324911805,133,trailing_stop,0.6965129375457764,513.7252023672861
AUDUSD,2025-11-27 05:15:00+00:00,2025-11-28 15:45:00+00:00,long,0.65395,0.654522,156.9809677382023,0.0008746846089150805,0.08979311354625437,414,trailing_stop,0.8376048803329468,513.8149954808324
AUDUSD,2025-11-27 05:20:00+00:00,2025-11-28 15:45:00+00:00,long,0.65404,0.6545535,156.96176429244935,0.0007851201761361012,0.08059986596418146,413,trailing_stop,0.716522216796875,513.8955953467965
AUDUSD,2025-11-28 15:35:00+00:00,2025-11-28 16:05:00+00:00,long,0.65487,0.6554485,156.91056883545696,0.000883381434483237,0.09077276407131771,6,trailing_stop,0.7792996764183044,513.9863681108678
AUDUSD,2025-11-27 04:30:00+00:00,2025-11-28 16:15:00+00:00,long,0.65367,0.655113,157.00292213214152,0.002124521547569849,0.21803561007009906,429,trailing_stop,0.7751353979110718,514.2044037209379
AUDUSD,2025-11-27 04:35:00+00:00,2025-11-28 16:15:00+00:00,long,0.65366,0.6551095,157.03000297733044,0.002130508215280108,0.21868437898631304,428,trailing_stop,0.7937144041061401,514.4230880999241
AUDUSD,2025-11-27 05:00:00+00:00,2025-11-28 16:15:00+00:00,long,0.65373,0.655134,157.0362038281876,0.002088605387545281,0.21441472012774243,423,trailing_stop,0.7370638251304626,514.6375028200518
USDJPY,2025-11-28 13:50:00+00:00,2025-12-01 00:10:00+00:00,short,156.059,155.90105,0.6582758783140293,0.001012117212080044,0.10397467497970066,124,trailing_stop,0.728477418422699,514.7414774950315
USDJPY,2025-11-27 01:10:00+00:00,2025-12-01 00:50:00+00:00,short,155.877,155.7509,0.6574877546806649,0.0008089711759913784,0.08290920586523716,572,trailing_stop,0.7010475993156433,514.8243867008968
USDJPY,2025-11-28 12:30:00+00:00,2025-12-01 00:50:00+00:00,short,156.094,155.82684999999998,0.6581114231979927,0.001826881238228305,0.18767047561854616,148,trailing_stop,0.7492207288742065,515.0120571765153
USDJPY,2025-11-28 12:35:00+00:00,2025-12-01 00:50:00+00:00,short,156.087,155.8244,0.6581620160195791,0.0018094370447250263,0.18588443491960016,147,trailing_stop,0.7977467775344849,515.1979416114349
USDJPY,2025-11-27 00:50:00+00:00,2025-12-01 00:55:00+00:00,short,155.858,155.75205,0.657563682899313,0.0006797854457262835,0.06966887220318688,577,trailing_stop,0.8422738909721375,515.2676104836381
USDJPY,2025-11-26 02:15:00+00:00,2025-12-01 01:15:00+00:00,short,155.734,155.578,0.6570667384308434,0.0010017080406334257,0.10250241119521546,852,trailing_stop,0.9094010591506958,515.3701128948334
USDJPY,2025-11-26 02:25:00+00:00,2025-12-01 01:15:00+00:00,short,155.67,155.67,0.6573368618346613,0.0,0.0,850,trailing_stop,0.8743324875831604,515.3701128948334
USDJPY,2025-12-01 00:20:00+00:00,2025-12-01 01:15:00+00:00,short,155.767,155.58955,0.6608739183122323,0.0011392014996757544,0.11727207680450115,11,trailing_stop,0.7674911022186279,515.4873849716379
USDJPY,2025-11-27 01:25:00+00:00,2025-12-01 01:20:00+00:00,short,155.824,155.65630000000002,0.6578116798414346,0.0014457285142211588,0.14819128898533312,575,trailing_stop,0.7333210706710815,515.6355762606232
USDJPY,2025-12-01 01:05:00+00:00,2025-12-01 07:50:00+00:00,short,155.506,155.3812,0.6626639537065963,0.0008025413810399172,0.08270046142257881,81,trailing_stop,0.9112957119941711,515.7182767220459
USDJPY,2025-12-01 02:35:00+00:00,2025-12-01 07:50:00+00:00,short,155.482,155.37279999999998,0.6632395347104293,0.0007023321027515437,0.07242575719038917,63,trailing_stop,0.8143633604049683,515.7907024792363
EURUSD,2025-11-27 01:05:00+00:00,2025-12-01 08:30:00+00:00,long,1.16055,1.161564,88.32036685666164,0.0008737236655034857,0.08955685199266111,665,trailing_stop,0.6757655739784241,515.880259331229
EURUSD,2025-11-28 15:55:00+00:00,2025-12-01 08:30:00+00:00,long,1.16082,1.1616585,88.54620248234686,0.0007223342120225051,0.07424599078144468,199,trailing_stop,0.8759336471557617,515.9545053220105
EURUSD,2025-11-27 01:45:00+00:00,2025-12-01 10:15:00+00:00,long,1.16126,1.162066,88.27812575973643,0.0006940736785905693,0.07115216936235502,678,trailing_stop,0.7761597633361816,516.0256574913728
EURUSD,2025-11-27 02:35:00+00:00,2025-12-01 10:40:00+00:00,long,1.16141,1.162203,88.28436110224106,0.0006827907457315191,0.07000949835408102,673,trailing_stop,0.7281515002250671,516.095666989727
EURUSD,2025-12-01 01:05:00+00:00,2025-12-01 10:40:00+00:00,long,1.16134,1.1621785,88.74285009104561,0.000722010780649908,0.07441087980133856,115,trailing_stop,0.880950391292572,516.1700778695283
USDJPY,2025-12-01 07:35:00+00:00,2025-12-01 10:40:00+00:00,short,155.368,155.24125,0.663721884526826,0.0008158050563821833,0.0841267488637666,37,trailing_stop,0.8097050189971924,516.2542046183921
EURUSD,2025-12-01 01:20:00+00:00,2025-12-01 11:10:00+00:00,long,1.16157,1.1623565,88.78863808739177,0.0006771008204413193,0.0698322638557357,118,trailing_stop,0.8146169781684875,516.3240368822478
EURUSD,2025-12-01 08:10:00+00:00,2025-12-01 11:45:00+00:00,long,1.16163,1.1626245,88.81076190938596,0.000856124583559317,0.08832230271888517,43,trailing_stop,0.7031018733978271,516.4123591849667
EURUSD,2025-12-01 12:20:00+00:00,2025-12-01 13:05:00+00:00,long,1.1635,1.1645205,88.77488081431758,0.0008770949720671172,0.09059476587101915,9,trailing_stop,0.8225247859954834,516.5029539508378
USDJPY,2025-12-01 12:35:00+00:00,2025-12-01 13:05:00+00:00,short,154.946,154.79065,0.6665363387650098,0.0010026073599834688,0.1035464202271433,6,trailing_stop,0.7706078290939331,516.606500371065
